"Category","Ready to Move"
"2 BHK Apartment",3186
"4 BHK Apartment",244
"1 BHK Apartment",950
"3 BHK Apartment",2318
"3 BHK Villa",102
"4 BHK Villa",99
"3 BHK Builder Floor",247
"3 BHK House",207
"5 BHK House",90
"2 BHK Builder Floor",570
"3 BHK Penthouse",9
"4 BHK House",175
"2 BHK House",275
"10 BHK House",9
"1 BHK Builder Floor",136
"4 BHK Builder Floor",24
"6 BHK House",57
"5 BHK Villa",27
"> 10 BHK House",23
"4 BHK Penthouse",12
"8 BHK House",24
"Studio Apartment",95
"10 BHK Apartment",1
"6 BHK Villa",11
"1 BHK House",147
"5 BHK Apartment",25
"> 10 BHK Apartment",3
"9 BHK Apartment",1
"2 BHK Villa",45
"Apartment",15
"9 BHK House",11
"7 BHK House",29
"5 BHK Builder Floor",3
"7 BHK Builder Floor",3
"6 BHK Apartment",12
"8 BHK Villa",3
"House",3
"8 BHK Builder Floor",1
"> 10 BHK Builder Floor",2
"5 BHK Penthouse",5
"1 BHK Villa",7
"8 BHK Apartment",2
"2 BHK Penthouse",3
"10 BHK Builder Floor",1
"9 BHK Villa",1
"7 BHK Villa",4
"> 10 BHK Villa",3
